"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.013427792,-0.1230244,0.027987779,-0.032023803,0.079545621,0.0093015985,-0.050751803,0.12068682,0.0041276266,0.022784013,-0.010487178,0.013179872,0.19321076,0.25003317,65,2
-0.00038285345,-0.1035446,0.0056716491,-0.0087889416,0.10047308,-0.014324982,0.025116825,0.056758626,0.0086514432,0.056714738,-0.021991219,0.0095278077,0.016061588,0.14997571,66,2
-0.0099085464,-0.094851841,0.042596428,0.011701796,0.080825554,0.10353588,-0.026040731,0.082548116,-0.0068348661,0.0002791346,-0.022440354,0.018736536,0.089116377,0.10455115,67,2
-0.002969295,-0.083043167,0.051052284,0.0048151901,0.21461497,0.16617823,0.030067259,0.051569885,-0.01331426,0.065571464,-0.018392001,0.0027151761,0.15021104,0.061721932,68,2
-0.009321984,-0.12885017,0.023874767,-0.018930179,-0.0070388298,-0.079600719,0.059533876,0.19629605,0.014205372,0.054257105,-0.012274678,0.012561691,0.020248477,0.17914885,69,2
-0.0032585525,-0.11220979,0.049743745,-0.020737475,0.085470116,0.074850504,-0.089005873,0.098738662,-0.0091711269,0.071465264,-0.035486724,0.0084030418,0.11991509,0.19219395,70,2
-0.0082085033,-0.16812304,0.021543807,-0.017440448,0.10309119,0.034113172,0.092517687,0.016588446,0.0081258679,0.13849837,-0.0095595752,0.025774872,0.027543287,0.13667888,71,2
-0.0054236612,-0.081524118,0.048333979,-0.03614134,0.098754523,0.0037296615,0.058428968,-0.0024249848,-0.006710123,0.16338079,-0.026974423,-0.00061671698,0.055360771,0.27195743,72,2
-0.0070718488,-0.14833498,0.014061937,0.0077515492,0.14762489,0.0070780364,0.09326115,0.090057339,0.0084407727,-0.0034064942,-0.0030311737,0.019479218,0.1014447,0.092059546,73,2
-0.0050092724,-0.08395349,0.031172386,-0.014211966,0.085581459,0.044818686,-0.045917523,0.059003571,0.0056232216,0.052646553,-0.033894714,0.012952069,0.024300924,0.15400572,74,2
-0.014109197,-0.097009905,0.02653157,-0.020969109,0.16360602,0.13511633,0.020845479,0.033102626,-0.0033464954,0.015297282,-0.017119921,0.01859512,0.15762127,0.10297607,75,2
-0.0073724806,-0.116608,0.027106173,-0.026906083,0.095733187,0.15595265,-0.020485115,-0.0090834991,0.011103704,0.098502105,-0.022270467,0.016604517,0.14358594,0.14824041,76,2
-0.0063007959,-0.075879773,0.038991496,-0.040765503,0.10723496,-0.06326478,0.10526992,0.16841396,-0.0058198302,-0.022059734,-0.01525519,0.0073791331,-0.020414346,0.13493857,77,2
-0.0045434513,-0.14689932,0.040036119,-0.010203974,0.1305333,0.18805271,-0.091604604,0.036708713,0.0088109234,0.13973627,-0.024307441,0.018329601,0.16179074,0.22771688,78,2
-0.0090909939,-0.11219727,0.052476357,-0.011719456,0.14066362,0.1504192,-0.11720993,-0.0025801932,-0.0071430295,0.080760036,-0.0283002,0.019795834,0.14963518,0.31598849,79,2
-0.0097315432,-0.14681334,0.032826555,0.0043411229,0.23209416,0.17090026,-0.12340538,0.022832184,-0.0041755072,0.095428972,-0.015659889,0.020363767,0.19332716,0.20877893,80,2
-0.0058753487,-0.11975567,0.049902932,-0.048098896,0.040718055,-0.060751919,0.04439759,0.089005362,0.0055151845,0.088216585,-0.015410181,0.012707925,-0.018685907,0.20405644,81,2
-0.0059275031,-0.07603257,0.0077850723,-0.05208912,0.11887964,0.027334479,0.10530873,0.069233071,-0.0040158469,0.031337931,-0.015508897,0.001468594,0.04432166,0.11384103,82,2
-0.0044626633,-0.15279255,0.062561914,0.011591792,0.11891813,-0.080759193,0.063289283,0.074519814,0.002247965,-0.056607176,-0.033781368,0.0099754613,-0.035690046,0.22083232,83,2
-0.0059798886,-0.18433026,0.081969052,0.0054806604,0.10560841,-0.14847795,0.020292237,0.16909373,0.0056384586,-0.059951142,-0.023649945,0.015608801,0.02857969,0.27398118,84,2
-0.008558026,-0.13640556,0.040505173,-0.021078875,0.070857733,0.1052044,0.11827865,0.087915753,0.00089077193,0.041245213,-0.020302639,0.0098081045,0.051619316,0.053791162,85,2
-0.011307844,-0.13363902,0.050113642,-0.025546853,0.072050682,0.038165186,0.075797847,0.064044933,-0.0093943021,0.050225065,-0.011802021,0.016170534,-0.011454776,0.24984215,86,2
-0.0063941461,-0.06681231,0.042353748,-0.040840051,0.19748397,0.07439366,0.068212938,0.01334084,0.0088636547,0.090335666,-0.024916851,0.0037599962,0.016122026,0.24714269,87,2
-0.0056744457,-0.079346623,0.033219131,-0.034104311,0.1807161,0.057175402,0.071122629,-0.011682453,0.011461823,0.01174999,-0.027194802,0.010320473,-0.039774364,0.2800669,88,2
-0.0061063524,-0.11774138,0.042737347,0.013934592,0.15568216,0.00014041165,-0.012912579,-0.054408536,-0.011851566,0.16527821,-0.0091013715,0.01249045,0.10437707,0.13724935,89,2
-0.006120223,-0.15015197,0.06037487,-0.069320504,0.094178292,0.12668919,-0.0041639032,0.31124723,-0.010544692,-0.12299188,-0.02067825,0.021228398,0.11285366,0.17719493,90,2
-0.010706407,-0.15290229,0.068795359,-0.040305253,0.084568292,0.11896824,-0.013696938,0.22927396,0.00015598014,-0.15650129,-0.024641858,0.021380239,0.15382005,0.13176284,91,2
0.0078118383,-0.17789067,0.055449196,-0.025970155,0.23996986,0.019074554,0.026497474,0.045742835,0.0068866625,0.064190727,-0.029943741,0.015108687,0.096890336,0.14582625,92,2
-0.012955257,-0.071420658,0.025060575,-0.0063319313,0.057119021,-0.047543983,0.044653227,0.10001285,-0.0056044555,0.023839496,-0.01858237,0.015846849,0.07082897,0.23119903,93,2
-0.016045032,-0.086422025,0.043937357,-0.016683425,0.030363822,-0.04620874,0.012470102,0.14871102,0.0037440579,0.056899942,-0.013334386,0.015571115,0.048464249,0.24240794,94,2
