"adm1_name","Easting","Northing","Datetime","fcs","cv_ind","rainfall_3_months_anomaly_cubic_intp","ndvi_value_cubic_intp","ndvi_anomaly_cubic_intp","log_currency_exchange","log_Area","Muslim","log_food_inflation","log_food_inflation_MPI","log_fatalities_explosions","MPI","n_conflicts_Battles_rolsum_90days","log_fatalities_battles","headline_inflation_cubic_intp","day_num"
"Edo",1279.32201875687,-4787.16004423538,"2023-11-29",0.41803195022629,0,1.12137708043437,0.716622878334867,1.01523601064434,6.67708346124714,0.953898072779411,0.19,3.50934627342409,0.442177630451435,0,0.126,1,1.38629436111989,28.5841598048233,61
"Edo",1279.32201875687,-4787.16004423538,"2023-12-06",0.411342743290401,0,1.08268037816692,0.692121155418291,1.01526880679278,6.68710860786651,0.953898072779411,0.19,3.51677911284239,0.443114168218141,0,0.126,3,1.38629436111989,28.7489968461914,62
"Edo",1279.32201875687,-4787.16004423538,"2023-12-13",0.420890798149342,0,1.09862623389052,0.666165611155556,1.01524293558299,6.68835471394676,0.953898072779411,0.19,3.52285530664238,0.44387976863694,0,0.126,3,1.38629436111989,28.8866248465372,63
"Enugu",1448.38363208385,-4795.07940262255,"2022-10-05",0.152178610276876,4,0.942336986955202,0.741032303566419,0.985174394918197,6.07043745197727,0.485091080815355,0.005,3.1590236789969,0.739211540885275,0,0.234,7,2.07944154167984,20.9513535573314,1
"Enugu",1448.38363208385,-4795.07940262255,"2022-10-12",0.161426866762491,4,0.994526427236823,0.730473818951425,0.984080011142024,6.0759665281957,0.485091080815355,0.005,3.16395104409405,0.740364544318009,0,0.234,10,2.63905732961526,21.0449815933777,2
"Enugu",1448.38363208385,-4795.07940262255,"2022-10-19",0.168208059785405,4,0.879996241744483,0.716737045878693,0.983166153845426,6.07988742745788,0.485091080815355,0.005,3.16966671612122,0.741702011572365,0,0.234,10,2.83321334405622,21.1540733904655,3
"Enugu",1448.38363208385,-4795.07940262255,"2022-10-26",0.164228514152893,4,0.857166573128826,0.701624771718701,0.982768160349669,6.08119098498184,0.485091080815355,0.005,3.17552321953544,0.743072433371292,0,0.234,11,2.83321334405622,21.2688481948402,4
"Enugu",1448.38363208385,-4795.07940262255,"2022-11-02",0.161901156625372,4,0.912974022018911,0.684698411098724,0.983028442885332,6.08534188269933,0.485091080815355,0.005,3.18044448122798,0.744224008607348,0,0.234,10,2.83321334405622,21.3716762186163,5
"Enugu",1448.38363208385,-4795.07940262255,"2022-11-09",0.164313341151197,4,0.908332198502604,0.664859860336574,0.983975950682441,6.08856857155596,0.485091080815355,0.005,3.18336044150144,0.744906343311338,0,0.234,9,2.77258872223978,21.4446900910365,6
"Enugu",1448.38363208385,-4795.07940262255,"2022-11-16",0.165562807334766,4,0.874291630969355,0.643152185231781,0.985694808140441,6.09173965396592,0.485091080815355,0.005,3.18320627244162,0.74487026775134,0,0.234,9,2.77258872223978,21.4700469869631,7
"Enugu",1448.38363208385,-4795.07940262255,"2022-11-23",0.166738143591606,4,0.878101230800314,0.620061823728075,0.98800676112989,6.09537401049849,0.485091080815355,0.005,3.17967711898337,0.744044445842108,0,0.234,11,2.99573227355399,21.4423732559891,8
